"","Observation","Delivery_Time_y","Number_of_Cases_x1","Distance_x2_.ft."
"1",1,16.68,7,560
"2",2,11.5,3,220
"3",3,12.03,3,340
"4",4,14.88,4,80
"5",5,13.75,6,150
"6",6,18.11,7,330
"7",7,8,2,110
"8",8,17.83,7,210
"9",9,79.24,30,1460
"10",10,21.5,5,605
"11",11,40.33,16,688
"12",12,21,10,215
"13",13,13.5,4,255
"14",14,19.75,6,462
"15",15,24,9,448
"16",16,29,10,776
"17",17,15.35,6,200
"18",18,19,7,132
"19",19,9.5,3,36
"20",20,35.1,17,770
"21",21,17.9,10,140
"22",22,52.32,26,810
"23",23,18.75,9,450
"24",24,19.83,8,635
"25",25,10.75,4,150
